

          Complete Location Report              

Name                                                  Description
----                                                  -----------
Arco Regional Airport                 No flights coming or going!
Jerry's Junkyard And Salvage  We have parts for your Zombie crusher
Build It Home Improvement                 Zombie home defense DIY
Tractors Big And Small             Tractors to move your zombies.
Joe's Tire                                         Beware of dog!
Bob The Butcher                             Zombie arms and legs!
Water Tower                               Drown your zombie here!
District 5 Fire Station                           No one on duty!
Big Mountain Motor Sports     We have cleats to run from your zombie!
Gary's Gun Store                                         Sold out
Rick's Auto Repair               Fix up your Zombie crusher here!
Arco City Police Station                         911 not working!
Warehouse                            Main base to store resources
Fidelity Fiduciary Bank                                    Closed
New Hope Church                           The apacolypse is here!
Virginia Movie Theater        Now Showing: Night of the Living Dead
Donna's Diner                                         Fresh meat!
Downtown Drug                 Beat your Zombie depression, get your Zoloft here!
Museum Of Arco                              Zombie art on display
