

                           Character Report              

Name                         Description
----                         -----------
John                He is willing to give food.
Eric                He will give you fuel for you vehicle.
Zeek                Is a gun runner that hates zombies. He gives you a gun.
Marilyn             She is a cunning thief when it comes to food.
Dan                 Gotta watch him.  He is always wanting your fuel.
Anne Oakley         All she wants is your weapon.
Mike                Knows his drugs from pharmacy school but without them he can't help you.
Vicki               She will NURSE you back to health.
Doc Holiday         Claims he is a doctor but we will never know.
Old Lady Zombie     Not fast but still deadly.
Cop Zombie          Can't use a gun but still bites.
Biker Zombie        Forgot how to ride but will take 5 whenever he gets a chance.
Midget Zombie       Can't see him coming.
